,visitor_score,home_score,MOV,mov
825,4,3,1,1
826,11,2,9,9
827,1,6,5,-5
828,2,3,1,-1
829,3,4,1,-1
830,8,5,3,3
831,9,3,6,6
832,1,6,5,-5
833,2,6,4,-4
834,3,6,3,-3
835,4,5,1,-1
836,5,1,4,4
837,3,4,1,-1
838,7,8,1,-1
839,2,7,5,-5
840,4,5,1,-1
841,9,4,5,5
842,9,5,4,4
843,4,3,1,1
844,3,2,1,1
845,3,6,3,-3
846,4,5,1,-1
847,6,7,1,-1
848,6,5,1,1
849,6,5,1,1
850,4,3,1,1
851,5,4,1,1
852,4,1,3,3
853,4,2,2,2
854,4,2,2,2
855,4,7,3,-3
856,6,5,1,1
857,1,5,4,-4
858,4,12,8,-8
859,3,1,2,2
860,6,1,5,5
861,12,7,5,5
862,7,2,5,5
863,3,2,1,1
864,3,7,4,-4
865,1,10,9,-9
866,0,9,9,-9
867,1,7,6,-6
868,7,5,2,2
869,3,0,3,3
870,4,3,1,1
871,0,1,1,-1
872,2,3,1,-1
873,1,2,1,-1
874,8,10,2,-2
875,2,5,3,-3
876,4,2,2,2
877,3,15,12,-12
878,0,11,11,-11
879,2,6,4,-4
880,7,1,6,6
881,1,10,9,-9
882,2,12,10,-10
883,1,2,1,-1
884,3,6,3,-3
885,6,2,4,4
886,3,4,1,-1
887,9,4,5,5
888,5,7,2,-2
889,3,4,1,-1
890,0,3,3,-3
891,7,8,1,-1
892,9,8,1,1
893,1,6,5,-5
894,3,2,1,1
895,3,12,9,-9
896,11,7,4,4
897,6,7,1,-1
898,5,4,1,1
899,4,5,1,-1
900,4,2,2,2
901,0,3,3,-3
902,2,0,2,2
903,2,4,2,-2
904,5,1,4,4
905,2,12,10,-10
906,2,7,5,-5
907,2,6,4,-4
908,1,2,1,-1
909,3,4,1,-1
910,14,9,5,5
911,5,2,3,3
912,10,5,5,5
913,6,5,1,1
914,3,5,2,-2
915,10,1,9,9
916,2,6,4,-4
917,3,4,1,-1
918,2,6,4,-4
919,3,1,2,2
920,2,10,8,-8
921,1,7,6,-6
922,3,4,1,-1
923,3,2,1,1
924,3,9,6,-6
925,5,6,1,-1
926,2,7,5,-5
927,2,1,1,1
928,5,11,6,-6
929,0,1,1,-1
930,4,2,2,2
931,4,3,1,1
932,1,7,6,-6
933,4,5,1,-1
934,11,4,7,7
935,5,3,2,2
936,9,4,5,5
937,3,4,1,-1
938,7,3,4,4
939,5,9,4,-4
940,6,1,5,5
941,5,7,2,-2
942,0,1,1,-1
943,7,3,4,4
944,3,10,7,-7
945,6,5,1,1
946,7,2,5,5
947,4,2,2,2
948,2,6,4,-4
949,12,2,10,10
950,6,3,3,3
951,2,10,8,-8
952,3,9,6,-6
953,7,1,6,6
954,3,6,3,-3
955,7,6,1,1
956,4,7,3,-3
957,7,15,8,-8
958,3,9,6,-6
959,3,8,5,-5
960,10,4,6,6
961,9,5,4,4
962,12,0,12,12
963,3,2,1,1
964,6,4,2,2
965,2,8,6,-6
966,4,1,3,3
967,2,4,2,-2
968,1,5,4,-4
969,2,6,4,-4
970,8,4,4,4
971,3,8,5,-5
972,4,2,2,2
973,1,2,1,-1
974,6,3,3,3
975,2,6,4,-4
976,2,6,4,-4
977,6,2,4,4
978,6,3,3,3
979,7,2,5,5
980,7,1,6,6
981,3,6,3,-3
982,2,1,1,1
983,5,8,3,-3
984,6,4,2,2
985,3,8,5,-5
986,2,5,3,-3
987,5,1,4,4
988,7,1,6,6
989,1,3,2,-2
990,2,3,1,-1
991,1,7,6,-6
992,6,4,2,2
993,5,4,1,1
994,6,10,4,-4
995,5,7,2,-2
996,4,0,4,4
997,0,1,1,-1
998,2,3,1,-1
999,4,6,2,-2
1000,7,6,1,1
1001,0,2,2,-2
1002,4,7,3,-3
1003,9,3,6,6
1004,5,9,4,-4
1005,4,3,1,1
1006,2,3,1,-1
1007,4,6,2,-2
1008,2,1,1,1
1009,4,5,1,-1
1010,6,5,1,1
1011,3,5,2,-2
1012,1,5,4,-4
1013,0,3,3,-3
1014,4,5,1,-1
1015,12,0,12,12
1016,7,8,1,-1
1017,9,8,1,1
1018,5,1,4,4
1019,13,10,3,3
1020,4,6,2,-2
1021,5,4,1,1
1022,3,4,1,-1
1023,1,0,1,1
1024,0,2,2,-2
1025,1,3,2,-2
1026,0,4,4,-4
1027,0,1,1,-1
1028,9,6,3,3
1029,5,8,3,-3
1030,1,12,11,-11
1031,6,1,5,5
1032,1,4,3,-3
1033,5,4,1,1
1034,4,1,3,3
1035,3,5,2,-2
1036,4,9,5,-5
1037,3,2,1,1
1038,6,3,3,3
1039,6,4,2,2
1040,4,10,6,-6
1041,1,2,1,-1
1042,3,6,3,-3
1043,10,4,6,6
1044,6,9,3,-3
1045,4,2,2,2
1046,0,2,2,-2
1047,2,1,1,1
1048,3,6,3,-3
1049,9,4,5,5
1050,9,3,6,6
1051,1,2,1,-1
1052,3,1,2,2
1053,5,7,2,-2
1054,6,14,8,-8
1055,1,2,1,-1
1056,3,4,1,-1
1057,1,2,1,-1
1058,7,5,2,2
1059,2,4,2,-2
1060,3,0,3,3
1061,1,8,7,-7
1062,5,4,1,1
1063,3,13,10,-10
1064,1,0,1,1
1065,6,5,1,1
1066,6,8,2,-2
1067,3,6,3,-3
1068,3,5,2,-2
1069,0,5,5,-5
1070,6,7,1,-1
1071,1,0,1,1
1072,10,6,4,4
1073,5,11,6,-6
1074,0,2,2,-2
1075,3,2,1,1
1076,3,5,2,-2
1077,5,6,1,-1
1078,0,5,5,-5
1079,13,11,2,2
1080,5,7,2,-2
1081,0,5,5,-5
1082,6,5,1,1
1083,3,12,9,-9
1084,4,3,1,1
1085,6,7,1,-1
1086,0,6,6,-6
1087,2,4,2,-2
1088,4,14,10,-10
1089,1,0,1,1
1090,7,4,3,3
1091,9,0,9,9
1092,1,3,2,-2
1093,3,10,7,-7
1094,3,0,3,3
1095,2,1,1,1
1096,3,8,5,-5
1097,2,5,3,-3
1098,4,5,1,-1
1099,2,4,2,-2
1100,5,6,1,-1
1101,2,3,1,-1
1102,5,3,2,2
1103,0,5,5,-5
1104,3,5,2,-2
1105,2,7,5,-5
1106,1,5,4,-4
1107,3,4,1,-1
1108,4,6,2,-2
1109,2,1,1,1
1110,4,9,5,-5
1111,5,4,1,1
1112,6,0,6,6
1113,4,2,2,2
1114,3,10,7,-7
1115,3,4,1,-1
1116,8,6,2,2
1117,3,10,7,-7
1118,2,3,1,-1
1119,2,1,1,1
1120,1,10,9,-9
1121,11,2,9,9
1122,10,4,6,6
1123,5,3,2,2
1124,4,2,2,2
1125,8,6,2,2
1126,0,3,3,-3
1127,0,6,6,-6
1128,5,1,4,4
1129,1,2,1,-1
1130,1,3,2,-2
1131,7,5,2,2
1132,0,5,5,-5
1133,2,1,1,1
1134,3,7,4,-4
1135,3,10,7,-7
1136,9,5,4,4
1137,10,6,4,4
1138,4,2,2,2
1139,5,6,1,-1
1140,5,6,1,-1
1141,4,2,2,2
1142,5,8,3,-3
1143,4,5,1,-1
1144,4,3,1,1
1145,4,11,7,-7
1146,7,4,3,3
1147,7,2,5,5
1148,1,3,2,-2
1149,9,6,3,3
1150,6,7,1,-1
1151,5,7,2,-2
1152,6,3,3,3
1153,4,2,2,2
1154,0,8,8,-8
1155,6,4,2,2
1156,6,9,3,-3
1157,9,4,5,5
1158,1,3,2,-2
1159,6,7,1,-1
1160,1,5,4,-4
1161,7,0,7,7
1162,1,4,3,-3
1163,2,0,2,2
1164,3,4,1,-1
1165,6,5,1,1
1166,5,1,4,4
1167,3,13,10,-10
1168,8,2,6,6
1169,4,2,2,2
1170,1,2,1,-1
1171,8,1,7,7
1172,1,6,5,-5
1173,5,4,1,1
1174,2,4,2,-2
1175,3,2,1,1
